,Publisher,Content,Publisher,Content,Jaccard Similarity,Duplicate Type
0,adn,Kamerlid Pieter Omtzigt wil niet terug naar werkweken van meer dan 70 uur,bddenbosch,Kamerlid Pieter Omtzigt wil niet terug naar werkweken van meer dan 70 uur,1.0,perfect duplicate
1,adn,"Pieter Omtzigt is al meer dan honderd dagen thuis, in Enschede. Met een burn-out. Over een week keert hij terug in de Tweede Kamer, waar hij de afgelopen maanden de meest besproken man was. Hij moest op zijn tong bijten, om maar niet te reageren. Dit is zijn verhaal.",bddenbosch,"Pieter Omtzigt is al meer dan honderd dagen thuis, in Enschede. Met een burn-out. Over een week keert hij terug in de Tweede Kamer, waar hij de afgelopen maanden de meest besproken man was. Hij moest op zijn tong bijten, om maar niet te reageren. Dit is zijn verhaal.",1.0,perfect duplicate
2,adn,'Ik heb lang tegen mijn besluit aangehikt',bddenbosch,'Ik heb lang tegen mijn besluit aangehikt',1.0,perfect duplicate
3,adn,"De bospaden en parken rondom zijn huis kent Pieter Omtzigt inmiddels als zijn broekzak. Tijdens een wandeling deze maandagmiddag wijst hij op landgoed Hof Espelo naar typisch Twentse beelden. Hier vond hij de afgelopen maanden rust. Hij liep er kilometers, om zijn hoofd leeg te maken. Vaak na zonsondergang, in het donker. Even geen mensen die informeren hoe het met hem gaat, hoe goedbedoeld ook.",bddenbosch,"De bospaden en parken rondom zijn huis kent Pieter Omtzigt inmiddels als zijn broekzak. Tijdens een wandeling deze maandagmiddag wijst hij op landgoed Hof Espelo naar typisch Twentse beelden. Hier vond hij de afgelopen maanden rust. Hij liep er kilometers, om zijn hoofd leeg te maken. Vaak na zonsondergang, in het donker. Even geen mensen die informeren hoe het met hem gaat, hoe goedbedoeld ook.",1.0,perfect duplicate
4,adn,"Maandenlang hield de politicus zich stil. Hij zette alleen een enkele keer een statement op Twitter. Nu doet hij zijn verhaal met de Twentse krant Tubantia. In de eetkamer, thuis in Enschede. Met zijn vrouw in de buurt die aan de andere kant van de gang in haar eigen kantoor aan het werk is, en de kinderen die zich in de keuken klaarmaken voor een nieuwe schooldag.",bddenbosch,"Maandenlang hield de politicus zich stil. Hij zette alleen een enkele keer een statement op Twitter. Nu doet hij zijn verhaal met de Twentse krant Tubantia. In de eetkamer, thuis in Enschede. Met zijn vrouw in de buurt die aan de andere kant van de gang in haar eigen kantoor aan het werk is, en de kinderen die zich in de keuken klaarmaken voor een nieuwe schooldag.",1.0,perfect duplicate
5,adn,"Op 15 september keert hij terug als Tweede Kamerlid. Niet meer voor zijn oude partij, het CDA, maar als Groep Omtzigt.",bddenbosch,"Op 15 september keert hij terug als Tweede Kamerlid. Niet meer voor zijn oude partij, het CDA, maar als Groep Omtzigt.",1.0,perfect duplicate
6,adn,Hoe gaat het met u?,bddenbosch,Hoe gaat het met u?,1.0,perfect duplicate
7,adn,Hoe gaat het met u?,ttenschede,Hoe gaat het met u?,1.0,perfect duplicate
8,adn,"""Een stuk beter. Ik kijk ernaar uit om aan het werk te gaan, weer in debat te gaan en mensen te spreken. Ik zie een beetje op tegen de media-aandacht. Ik ben nog niet 100 procent hersteld. In een normale baan zou je eens rustig met halve dagen beginnen. Maar ja, in de Tweede Kamer is het alles of niks. Maar verwacht even niet de 70 uur per week die ik voor die tijd maakte en ik ben ook voornemens om dat niet meer zo te doen. Ik heb vrij strakke afspraken met mijn omgeving gemaakt om me daar aan te houden.''",bddenbosch,"""Een stuk beter. Ik kijk ernaar uit om aan het werk te gaan, weer in debat te gaan en mensen te spreken. Ik zie een beetje op tegen de media-aandacht. Ik ben nog niet 100 procent hersteld. In een normale baan zou je eens rustig met halve dagen beginnen. Maar ja, in de Tweede Kamer is het alles of niks. Maar verwacht even niet de 70 uur per week die ik voor die tijd maakte en ik ben ook voornemens om dat niet meer zo te doen. Ik heb vrij strakke afspraken met mijn omgeving gemaakt om me daar aan te houden.''",1.0,perfect duplicate
9,adn,"U was de afgelopen maanden ziek thuis, maar ondertussen was u de meest besproken man op het Binnenhof. Hoe heeft u dat beleefd?",bddenbosch,"U was de afgelopen maanden ziek thuis, maar ondertussen was u de meest besproken man op het Binnenhof. Hoe heeft u dat beleefd?",1.0,perfect duplicate
10,adn,"""Het was ideaal geweest als ik even helemaal 'uit' had gekund. Maar aan het begin lukte dat niet. Er zijn toen een aantal debatten geweest in de Tweede Kamer die over mij gingen.''",bddenbosch,"""Het was ideaal geweest als ik even helemaal 'uit' had gekund. Maar aan het begin lukte dat niet. Er zijn toen een aantal debatten geweest in de Tweede Kamer die over mij gingen.''",1.0,perfect duplicate
11,adn,Heeft u naar die debatten gekeken?,bddenbosch,Heeft u naar die debatten gekeken?,1.0,perfect duplicate
12,adn,Heeft u naar die debatten gekeken?,ttenschede,Heeft u naar die debatten gekeken?,1.0,perfect duplicate
13,adn,"""Ja. Ik weet niet of dat het verstandigste was. Ik werd er niet rustiger van, zal ik maar zeggen. Wat wel heel erg hielp, was dat ontzettend veel mensen hun steun lieten blijken, met bloemen en kaarten, hartverwarmende reacties.''",bddenbosch,"""Ja. Ik weet niet of dat het verstandigste was. Ik werd er niet rustiger van, zal ik maar zeggen. Wat wel heel erg hielp, was dat ontzettend veel mensen hun steun lieten blijken, met bloemen en kaarten, hartverwarmende reacties.''",1.0,perfect duplicate
14,adn,Heeft u overwogen om toch te reageren?,bddenbosch,Heeft u overwogen om toch te reageren?,1.0,perfect duplicate
15,adn,"""Oh meerdere keren heb ik op mijn tong gebeten. Maar ik wist dat als je een keer reageert, je vervolgens overal op moet reageren. Er is maar een ding dat helpt en dat is even helemaal niet reageren.",bddenbosch,"""Oh meerdere keren heb ik op mijn tong gebeten. Maar ik wist dat als je een keer reageert, je vervolgens overal op moet reageren. Er is maar een ding dat helpt en dat is even helemaal niet reageren.",1.0,perfect duplicate
16,adn,"""Oh meerdere keren heb ik op mijn tong gebeten. Maar ik wist dat als je een keer reageert, je vervolgens overal op moet reageren. Er is maar een ding dat helpt en dat is even helemaal niet reageren.",ttenschede,"""Oh meerdere keren heb ik op mijn tong gebeten. Maar ik wist dat als je een keer reageert, je vervolgens overal op moet reageren. Er is maar een ding dat helpt, en dat is even helemaal niet reageren. Voor mij was dat ook wel een goede oefening.",0.8,near duplicate
17,adn,Bijna iedereen was wel begripvol maar er kwamen toch heel veel appjes binnen van mensen die constant een reactie ergens op wilden. Dan weet je dat er maar een ding is dat je kan doen en dat is even niets zeggen.'',bddenbosch,Bijna iedereen was wel begripvol maar er kwamen toch heel veel appjes binnen van mensen die constant een reactie ergens op wilden. Dan weet je dat er maar een ding is dat je kan doen en dat is even niets zeggen.'',1.0,perfect duplicate
18,adn,Bijna iedereen was wel begripvol maar er kwamen toch heel veel appjes binnen van mensen die constant een reactie ergens op wilden. Dan weet je dat er maar een ding is dat je kan doen en dat is even niets zeggen.'',ttenschede,"Bijna iedereen was wel begripvol, maar er kwamen toch heel veel appjes van mensen die constant een reactie ergens op wilden. Dan weet je dat er maar een ding is dat je kan doen, en dat is even niets zeggen.""",0.8780487804878049,near duplicate
19,adn,Uw vrouw Ayfer KoÃ§ reageerde wel.,bddenbosch,Uw vrouw Ayfer KoÃ§ reageerde wel.,1.0,perfect duplicate
20,adn,Uw vrouw Ayfer KoÃ§ reageerde wel.,ttenschede,Uw vrouw Ayfer KoÃ§ reageerde wel,1.0,perfect duplicate
21,adn,"""Daar hebben we niet zozeer een afspraak over gemaakt. Zij heeft een eigen leven, een eigen functie en een eigen manier van reageren. Ze kan reageren zoals zij dat voelt. Ook zij vond er wel eens wat van, van wat er over mij wordt gezegd.''",bddenbosch,"""Daar hebben we niet zozeer een afspraak over gemaakt. Zij heeft een eigen leven, een eigen functie en een eigen manier van reageren. Ze kan reageren zoals zij dat voelt. Ook zij vond er wel eens wat van, van wat er over mij wordt gezegd.''",1.0,perfect duplicate
22,adn,"""Daar hebben we niet zozeer een afspraak over gemaakt. Zij heeft een eigen leven, een eigen functie en een eigen manier van reageren. Ze kan reageren zoals zij dat voelt. Ook zij vond er wel eens wat van, van wat er over mij wordt gezegd.''",ttenschede,"""Daarover hebben we niet zozeer een afspraak gemaakt. Zij heeft een eigen leven, een eigen functie en een eigen manier van reageren. Ze kan reageren zoals zij dat voelt. Ook zij vond er wel eens wat van, van wat er over mij wordt gezegd.""",0.8478260869565217,near duplicate
23,adn,Hoe was het voor u om zo veel thuis te zijn de afgelopen maanden?,bddenbosch,Hoe was het voor u om zo veel thuis te zijn de afgelopen maanden?,1.0,perfect duplicate
24,adn,Hoe was het voor u om zo veel thuis te zijn de afgelopen maanden?,ttenschede,Hoe was het voor u om zo veel thuis te zijn de afgelopen maanden?,1.0,perfect duplicate
25,adn,"""Dat betekende heel veel, het was heel fijn om met Ayfer en de kinderen te zijn. Ik heb ontzettend veel steun gehad aan Ayfer en ik heb het heerlijk gevonden meer thuis te zijn. De afgelopen twaalf jaar heb ik altijd half in Den Haag gewoond. We zijn nu twaalf jaar getrouwd, dus dit was de eerste keer dat ik eens een half jaar thuis was.",bddenbosch,"""Dat betekende heel veel, het was heel fijn om met Ayfer en de kinderen te zijn. Ik heb ontzettend veel steun gehad aan Ayfer en ik heb het heerlijk gevonden meer thuis te zijn. De afgelopen twaalf jaar heb ik altijd half in Den Haag gewoond. We zijn nu twaalf jaar getrouwd, dus dit was de eerste keer dat ik eens een half jaar thuis was.",1.0,perfect duplicate
26,adn,"Het is natuurlijk heel mooi om onderdeel te zijn van een gezin, maar als politicus in Den Haag was dat best lastig. We hebben vier dochters. De kinderen zeiden dat ze het wel leuk vonden dat ik er was. Maar ik had net even wat meer tijd en zij zijn tot grote steun geweest. Ik denk dat ik dit ook ga missen.''",bddenbosch,"Het is natuurlijk heel mooi om onderdeel te zijn van een gezin, maar als politicus in Den Haag was dat best lastig. We hebben vier dochters. De kinderen zeiden dat ze het wel leuk vonden dat ik er was. Maar ik had net even wat meer tijd en zij zijn tot grote steun geweest. Ik denk dat ik dit ook ga missen.''",1.0,perfect duplicate
27,adn,Heeft u in de afgelopen maanden overwogen te stoppen als politicus?,bddenbosch,Heeft u in de afgelopen maanden overwogen te stoppen als politicus?,1.0,perfect duplicate
28,adn,"""Ik heb niet toegelaten dat het een optie zou zijn. Ik heb me kandidaat gesteld en ik kreeg ruim 342.000 voorkeurstemmen. Bovendien ben ik met een duidelijk plan gekomen bij de verkiezingen, een nieuw sociaal contract voor een nieuwe bestuurscultuur. Dan is het voor mij logisch om terug te keren naar Den Haag als dat kan. Om die voorstellen voor te leggen in de Tweede Kamer.''",bddenbosch,"""Ik heb niet toegelaten dat het een optie zou zijn. Ik heb me kandidaat gesteld en ik kreeg ruim 342.000 voorkeurstemmen. Bovendien ben ik met een duidelijk plan gekomen bij de verkiezingen, een nieuw sociaal contract voor een nieuwe bestuurscultuur. Dan is het voor mij logisch om terug te keren naar Den Haag als dat kan. Om die voorstellen voor te leggen in de Tweede Kamer.''",1.0,perfect duplicate
29,adn,"""Ik heb niet toegelaten dat het een optie zou zijn. Ik heb me kandidaat gesteld en ik kreeg ruim 342.000 voorkeurstemmen. Bovendien ben ik met een duidelijk plan gekomen bij de verkiezingen, een nieuw sociaal contract voor een nieuwe bestuurscultuur. Dan is het voor mij logisch om terug te keren naar Den Haag als dat kan. Om die voorstellen voor te leggen in de Tweede Kamer.''",ttenschede,"""Ik heb niet toegelaten dat het een optie zou zijn. Ik heb me kandidaat gesteld en kreeg ruim 342.000 voorkeurstemmen. Bovendien ben ik met een duidelijk plan gekomen bij de verkiezingen, een nieuw sociaal contract voor een nieuwe bestuurscultuur. Dan is het voor mij logisch om terug te keren naar Den Haag als dat kan. Om die voorstellen voor te leggen in de Kamer.""",0.8805970149253731,near duplicate
30,adn,Lukte het om afstand te nemen van Den Haag?,bddenbosch,Lukte het om afstand te nemen van Den Haag?,1.0,perfect duplicate
31,adn,"""Sinds corona loop ik uren door de bossen hier in de omgeving. Ik heb heel veel nieuwe plekken ontdekt. En tijdens mijn burn-out heeft dat heel erg geholpen om mijn hoofd leeg te maken. Het liefst in het donker, na zonsondergang. Mensen zijn heel belangstellend, maar je wil niet telkens praten over hoe het met je gaat.",bddenbosch,"""Sinds corona loop ik uren door de bossen hier in de omgeving. Ik heb heel veel nieuwe plekken ontdekt. En tijdens mijn burn-out heeft dat heel erg geholpen om mijn hoofd leeg te maken. Het liefst in het donker, na zonsondergang. Mensen zijn heel belangstellend, maar je wil niet telkens praten over hoe het met je gaat.",1.0,perfect duplicate
32,adn,"Mijn leefstijl was de afgelopen jaren niet heel gezond, dus ik ben wat vaker de sportschool in gegaan. Iets fitter worden, iets meer in balans raken. Het politieke leven kan je helemaal uit balans brengen, privÃ© en qua gezondheid. Die balans is nu voor een groot stuk terug en dat wil ik ook graag zo houden.''",bddenbosch,"Mijn leefstijl was de afgelopen jaren niet heel gezond, dus ik ben wat vaker de sportschool in gegaan. Iets fitter worden, iets meer in balans raken. Het politieke leven kan je helemaal uit balans brengen, privÃ© en qua gezondheid. Die balans is nu voor een groot stuk terug en dat wil ik ook graag zo houden.''",1.0,perfect duplicate
33,adn,"Terwijl u ziek thuis zat, schreef u een vernietigend memo over het CDA. Dat lekte uit. U stapte uit het CDA. Is er nog een weg terug?",bddenbosch,"Terwijl u ziek thuis zat, schreef u een vernietigend memo over het CDA. Dat lekte uit. U stapte uit het CDA. Is er nog een weg terug?",1.0,perfect duplicate
34,adn,"""Ik heb een weloverwogen besluit genomen. Daarmee is het CDA voor mij nu een gesloten hoofdstuk. Er waren verschillen van mening over de inhoud en er waren verschillen in hoe ik vind dat je omgaat met elkaar. Dat heb je gezien in het document dat helaas gelekt is en heb je kunnen zien in de openbaar gemaakte kabinetsnotulen. Het is niet een keuze die ik makkelijk gemaakt heb. Daar heb ik lang tegenaan gehikt. Maar ik sta achter mijn beslissing.''",bddenbosch,"""Ik heb een weloverwogen besluit genomen. Daarmee is het CDA voor mij nu een gesloten hoofdstuk. Er waren verschillen van mening over de inhoud en er waren verschillen in hoe ik vind dat je omgaat met elkaar. Dat heb je gezien in het document dat helaas gelekt is en heb je kunnen zien in de openbaar gemaakte kabinetsnotulen. Het is niet een keuze die ik makkelijk gemaakt heb. Daar heb ik lang tegenaan gehikt. Maar ik sta achter mijn beslissing.''",1.0,perfect duplicate
35,adn,Weet u wie het memo gelekt heeft?,bddenbosch,Weet u wie het memo gelekt heeft?,1.0,perfect duplicate
36,adn,"""Nee ik weet niet wie er naar de krant gelekt heeft.''",bddenbosch,"""Nee ik weet niet wie er naar de krant gelekt heeft.''",1.0,perfect duplicate
37,adn,Deed u het zelf?,bddenbosch,Deed u het zelf?,1.0,perfect duplicate
38,adn,"""Nee, ik heb het niet zelf gelekt. Als ik zeg dat ik niet weet, heb ik het ook niet zelf gedaan. Ik heb een redelijk actieve herinnering aan wat ik doe en dat zou ik ook hier hebben.''",bddenbosch,"""Nee, ik heb het niet zelf gelekt. Als ik zeg dat ik niet weet, heb ik het ook niet zelf gedaan. Ik heb een redelijk actieve herinnering aan wat ik doe en dat zou ik ook hier hebben.''",1.0,perfect duplicate
39,adn,Er werd gesuggereerd dat het een vooropgezet plan was. U wilde een eigen partij beginnen.,bddenbosch,Er werd gesuggereerd dat het een vooropgezet plan was. U wilde een eigen partij beginnen.,1.0,perfect duplicate
40,adn,"""Iedereen die mij gezien heeft in de afgelopen maanden weet dat ik echt ziek was. Maar wat ik wel heel interessant vind, is dat er mensen zijn die denken dat terwijl ik hier met een burn-out zit, ik werk aan een soort masterplan om iets te gaan doen.",bddenbosch,"""Iedereen die mij gezien heeft in de afgelopen maanden weet dat ik echt ziek was. Maar wat ik wel heel interessant vind, is dat er mensen zijn die denken dat terwijl ik hier met een burn-out zit, ik werk aan een soort masterplan om iets te gaan doen.",1.0,perfect duplicate
41,adn,"Dat masterplan heb ik niet. Ik wil gewoon de komende maanden rustig aan het werk kunnen gaan, rustig weer kunnen beginnen. In een lagere versnelling dan ik heel lang gedaan heb.",bddenbosch,"Dat masterplan heb ik niet. Ik wil gewoon de komende maanden rustig aan het werk kunnen gaan, rustig weer kunnen beginnen. In een lagere versnelling dan ik heel lang gedaan heb.",1.0,perfect duplicate
42,adn,Dat hele idee dat je dit kunt doen als je een burn-out hebt. Het ging zoals het ging. Er is een harde clash geweest tussen mijn idealen en de idealen van anderen. Ik zeg al een tijdlang dat we in Den Haag andere omgangsvormen en een andere bestuurscultuur nodig hebben. Uit het stuk dat naar buiten is gekomen blijkt hoe er met mij is omgegaan. Dat maakte de werkomgeving niet altijd prettig.'',bddenbosch,Dat hele idee dat je dit kunt doen als je een burn-out hebt. Het ging zoals het ging. Er is een harde clash geweest tussen mijn idealen en de idealen van anderen. Ik zeg al een tijdlang dat we in Den Haag andere omgangsvormen en een andere bestuurscultuur nodig hebben. Uit het stuk dat naar buiten is gekomen blijkt hoe er met mij is omgegaan. Dat maakte de werkomgeving niet altijd prettig.'',1.0,perfect duplicate
43,adn,"U bent kritisch over de omgangsvormen in Den Haag, is dat gevoel versterkt de afgelopen maanden?",bddenbosch,"U bent kritisch over de omgangsvormen in Den Haag, is dat gevoel versterkt de afgelopen maanden?",1.0,perfect duplicate
44,adn,"""De notulen van het kabinet lieten zien dat het kabinet meer bezig was met het controleren van Kamerleden en beeldvorming dan met het oplossen van problemen van burgers. Dat vond ik heel pijnlijk om te zien, vooral voor de burgers die erbij betrokken waren.",bddenbosch,"""De notulen van het kabinet lieten zien dat het kabinet meer bezig was met het controleren van Kamerleden en beeldvorming dan met het oplossen van problemen van burgers. Dat vond ik heel pijnlijk om te zien, vooral voor de burgers die erbij betrokken waren.",1.0,perfect duplicate
45,adn,"Mijn gevoel was juist, maar het viel me wel tegen dat het in het kabinet zelf gebeurde. Ik dacht altijd dat het om het kabinet heen was, maar dat het kabinet zelf over Kamerleden spreekt en niet over de oplossing voor de ouders in de toeslagenaffaire, dat viel me toch wel rauw op het dak.''",bddenbosch,"Mijn gevoel was juist, maar het viel me wel tegen dat het in het kabinet zelf gebeurde. Ik dacht altijd dat het om het kabinet heen was, maar dat het kabinet zelf over Kamerleden spreekt en niet over de oplossing voor de ouders in de toeslagenaffaire, dat viel me toch wel rauw op het dak.''",1.0,perfect duplicate
46,adn,Wanneer kwam het moment dat u zich beter voelde?,bddenbosch,Wanneer kwam het moment dat u zich beter voelde?,1.0,perfect duplicate
47,adn,"""Dat was in juni, juli, vrij snel nadat ik mijn CDA-lidmaatschap had opgezegd. We zijn lekker op vakantie geweest in Zeeland, met het gezin. Het ging langzaam beter, dat gaat natuurlijk met vallen en opstaan.''",bddenbosch,"""Dat was in juni, juli, vrij snel nadat ik mijn CDA-lidmaatschap had opgezegd. We zijn lekker op vakantie geweest in Zeeland, met het gezin. Het ging langzaam beter, dat gaat natuurlijk met vallen en opstaan.''",1.0,perfect duplicate
48,adn,Wat heeft u het meest geraakt in de afgelopen maanden?,bddenbosch,Wat heeft u het meest geraakt in de afgelopen maanden?,1.0,perfect duplicate
49,adn,"""Vooral de steun die ik van veel mensen gehad heb, dat was heel hartverwarmend. Politiek heeft het me geraakt. Ik ben niet optimistischer geworden over het Nederlandse politieke stelsel nu ik het een paar maanden vanuit huis heb beschouwd. Over hoe duidelijk het niet gaat over de problemen, hoe duidelijk het echt alleen maar gaat over persoonlijke verhoudingen. In een ongezonde bestuurscultuur met veel te weinig checks and balances en welke directe gevolgen dat heeft voor urgente maatschappelijke problemen.",bddenbosch,"""Vooral de steun die ik van veel mensen gehad heb, dat was heel hartverwarmend. Politiek heeft het me geraakt. Ik ben niet optimistischer geworden over het Nederlandse politieke stelsel nu ik het een paar maanden vanuit huis heb beschouwd. Over hoe duidelijk het niet gaat over de problemen, hoe duidelijk het echt alleen maar gaat over persoonlijke verhoudingen. In een ongezonde bestuurscultuur met veel te weinig checks and balances en welke directe gevolgen dat heeft voor urgente maatschappelijke problemen.",1.0,perfect duplicate
50,adn,"Het was voor het eerst dat ik als geÃ¯nteresseerde burger naar politiek gekeken heb, natuurlijk wel met een iets ander inzicht over wat er achter de schermen gebeurt. Het was een vreemde gewaarwording, hoe keuzes gemaakt worden. Of niet gemaakt worden vooral. Dat heeft mij geraakt.''",bddenbosch,"Het was voor het eerst dat ik als geÃ¯nteresseerde burger naar politiek gekeken heb, natuurlijk wel met een iets ander inzicht over wat er achter de schermen gebeurt. Het was een vreemde gewaarwording, hoe keuzes gemaakt worden. Of niet gemaakt worden vooral. Dat heeft mij geraakt.''",1.0,perfect duplicate
51,adn,Met welk gevoel gaat u volgende week woensdag weer aan het werk?,bddenbosch,Met welk gevoel gaat u volgende week woensdag weer aan het werk?,1.0,perfect duplicate
52,adn,"""Ik stap gewoon in de trein, zoals ik altijd deed. Een treinreis vind ik heerlijk. Ik zie wel wat op tegen de hectiek. De agenda voor debatten wordt pas vrijdag duidelijk. Als het goed is ben ik 15 en 16 september in Den Haag en de derde Kamerdag is het alweer Prinsjesdag. Daarna de algemene beschouwingen, daar zal ik wel aan meedoen.",bddenbosch,"""Ik stap gewoon in de trein, zoals ik altijd deed. Een treinreis vind ik heerlijk. Ik zie wel wat op tegen de hectiek. De agenda voor debatten wordt pas vrijdag duidelijk. Als het goed is ben ik 15 en 16 september in Den Haag en de derde Kamerdag is het alweer Prinsjesdag. Daarna de algemene beschouwingen, daar zal ik wel aan meedoen.",1.0,perfect duplicate
53,adn,"Ik blijf op dinsdag, woensdag en donderdag in Den Haag. Maar ik wil op maandag hier in Enschede zijn, hier werken en er voor de kinderen zijn. De afgelopen jaren heb ik veel te gemakkelijk privÃ©- en sportafspraken constant afgezegd. Het zal een hele uitdaging voor mij worden om dat niet meer zo gemakkelijk te doen. Maar ik hou van uitdagingen.''",bddenbosch,"Ik blijf op dinsdag, woensdag en donderdag in Den Haag. Maar ik wil op maandag hier in Enschede zijn, hier werken en er voor de kinderen zijn. De afgelopen jaren heb ik veel te gemakkelijk privÃ©- en sportafspraken constant afgezegd. Het zal een hele uitdaging voor mij worden om dat niet meer zo gemakkelijk te doen. Maar ik hou van uitdagingen.''",1.0,perfect duplicate
54,bddenbosch,Hoe gaat het met u?,ttenschede,Hoe gaat het met u?,1.0,perfect duplicate
55,bddenbosch,Heeft u naar die debatten gekeken?,ttenschede,Heeft u naar die debatten gekeken?,1.0,perfect duplicate
56,bddenbosch,"""Oh meerdere keren heb ik op mijn tong gebeten. Maar ik wist dat als je een keer reageert, je vervolgens overal op moet reageren. Er is maar een ding dat helpt en dat is even helemaal niet reageren.",ttenschede,"""Oh meerdere keren heb ik op mijn tong gebeten. Maar ik wist dat als je een keer reageert, je vervolgens overal op moet reageren. Er is maar een ding dat helpt, en dat is even helemaal niet reageren. Voor mij was dat ook wel een goede oefening.",0.8,near duplicate
57,bddenbosch,Bijna iedereen was wel begripvol maar er kwamen toch heel veel appjes binnen van mensen die constant een reactie ergens op wilden. Dan weet je dat er maar een ding is dat je kan doen en dat is even niets zeggen.'',ttenschede,"Bijna iedereen was wel begripvol, maar er kwamen toch heel veel appjes van mensen die constant een reactie ergens op wilden. Dan weet je dat er maar een ding is dat je kan doen, en dat is even niets zeggen.""",0.8780487804878049,near duplicate
58,bddenbosch,Uw vrouw Ayfer KoÃ§ reageerde wel.,ttenschede,Uw vrouw Ayfer KoÃ§ reageerde wel,1.0,perfect duplicate
59,bddenbosch,"""Daar hebben we niet zozeer een afspraak over gemaakt. Zij heeft een eigen leven, een eigen functie en een eigen manier van reageren. Ze kan reageren zoals zij dat voelt. Ook zij vond er wel eens wat van, van wat er over mij wordt gezegd.''",ttenschede,"""Daarover hebben we niet zozeer een afspraak gemaakt. Zij heeft een eigen leven, een eigen functie en een eigen manier van reageren. Ze kan reageren zoals zij dat voelt. Ook zij vond er wel eens wat van, van wat er over mij wordt gezegd.""",0.8478260869565217,near duplicate
60,bddenbosch,Hoe was het voor u om zo veel thuis te zijn de afgelopen maanden?,ttenschede,Hoe was het voor u om zo veel thuis te zijn de afgelopen maanden?,1.0,perfect duplicate
61,bddenbosch,"""Ik heb niet toegelaten dat het een optie zou zijn. Ik heb me kandidaat gesteld en ik kreeg ruim 342.000 voorkeurstemmen. Bovendien ben ik met een duidelijk plan gekomen bij de verkiezingen, een nieuw sociaal contract voor een nieuwe bestuurscultuur. Dan is het voor mij logisch om terug te keren naar Den Haag als dat kan. Om die voorstellen voor te leggen in de Tweede Kamer.''",ttenschede,"""Ik heb niet toegelaten dat het een optie zou zijn. Ik heb me kandidaat gesteld en kreeg ruim 342.000 voorkeurstemmen. Bovendien ben ik met een duidelijk plan gekomen bij de verkiezingen, een nieuw sociaal contract voor een nieuwe bestuurscultuur. Dan is het voor mij logisch om terug te keren naar Den Haag als dat kan. Om die voorstellen voor te leggen in de Kamer.""",0.8805970149253731,near duplicate
